Đồng	B-LOC	doŋ	Đồng
bằng	I-LOC	băŋ	bằng
sông	I-LOC	soŋ	sông
Cửu	I-LOC	kɯw	Cửu
Long	I-LOC	lɔŋ	Long

Trần	B-PER	cɤ̆n	Trần
Trọng	I-PER	cɔŋ	Trọng
Kim	I-PER	kim	Kim
,	O	,	,
''Đường	O	''dɯəŋ	''Đường
thi	O	tʰi	thi
''	O	''	''
.	O	.	.

Gaushorn	B-LOC	ɣăwshɔzn	Gaushorn
(	O	(	(
213	O	213	213
)	O	)	)

10.17	O	10.17	10.17
-	O	-	-
'	O	'	'
''	O	''	''
Wonder	B-ORG	wɔnzɛz	Wonder
Girls15th	I-ORG	zzls15tʰ	Girls15th
-	O	-	-
Nobody3rd	O	nɔbɔzi3zz	Nobody3rd
''	O	''	''
'	O	'	'

đổi	O	doj	đổi
CJ	B-ORG	kj	CJ
E	I-ORG	ɛ	E
&	I-ORG	&	&
M	I-ORG	m	M
Pictures	I-ORG	pictuzɛs	Pictures

Đây	O	dɤ̆j	Đây
là	O	la	là
loài	O	lwaj	loài
bản	O	ban	bản
địa	O	diə	địa
của	O	kwa	của
Argentina	B-LOC	azɣɛntina	Argentina
,	O	,	,
Brasil	B-LOC	bzasil	Brasil
,	O	,	,
và	O	va	và
Paraguay	B-LOC	pazaɣwăj	Paraguay
.	O	.	.

Sân	B-ORG	sɤ̆n	Sân
vận	I-ORG	vɤ̆n	vận
động	I-ORG	doŋ	động
chính	I-ORG	ciɲ	chính
Khu	I-ORG	xu	Khu
liên	I-ORG	liən	liên
hợp	I-ORG	hɤp	hợp
thể	I-ORG	tʰe	thể
thao	I-ORG	tʰaw	thao
quốc	I-ORG	kwok	quốc
gia	I-ORG	za	gia
Lào	I-ORG	law	Lào

Kia]]	O	kiə]]	Kia]]
,	O	,	,
Mazda	B-ORG	mazza	Mazda
,	O	,	,
BMW	B-ORG	bmw	BMW

''	O	''	''
'	O	'	'
''	O	''	''
'	O	'	'
-	O	-	-
Gustavo	B-PER	ɣustavɔ	Gustavo
Gianetti	I-PER	zanɛtti	Gianetti

''	O	''	''
Senecio	B-LOC	sɛnɛciɔ	Senecio
nevadensis	I-LOC	nɛvazɛnsis	nevadensis
''	O	''	''
Boiss	O	bɔjss	Boiss
.	O	.	.

đổi	O	doj	đổi
Pháp	B-ORG	fap	Pháp
xâm	I-ORG	sɤ̆m	xâm
lược	I-ORG	lɯək	lược
Ai	I-ORG	aj	Ai
Cập	I-ORG	kɤ̆p	Cập

Máy	B-PER	măj	Máy
in	I-PER	in	in
mã	I-PER	ma	mã
vạch	I-PER	vɛc	vạch

đổi	O	doj	đổi
Xã	B-LOC	sa	Xã
Middlefield	I-LOC	mizzlɛfiɛlz	Middlefield
,	I-LOC	,	,
Quận	I-LOC	kwɤ̆n	Quận
Geauga	I-LOC	ɣɛăwɣa	Geauga
,	I-LOC	,	,
Ohio	I-LOC	ɔhiɔ	Ohio

''	O	''	''
Ca	B-ORG	ka	Ca
n't	I-ORG	n't	n't
Get	I-ORG	ɣɛt	Get
You	I-ORG	iɔu	You
Out	I-ORG	ɔut	Out
of	I-ORG	ɔf	of
My	I-ORG	mi	My
Head	I-ORG	hɛaz	Head
''	O	''	''

''	O	''	''
Macroglossum	B-LOC	makzɔɣlɔssum	Macroglossum
fruhstorferi	I-LOC	fzuhstɔzfɛzi	fruhstorferi
''	O	''	''

Xã	B-LOC	sa	Xã
của	I-LOC	kwa	của
tỉnh	I-LOC	tiɲ	tỉnh
Ariège	I-LOC	aziɛɣɛ	Ariège

đổi	O	doj	đổi
Nguyễn	B-PER	ŋwiən	Nguyễn
Thế	I-PER	tʰe	Thế
Anh	I-PER	ɛɲ	Anh
(	I-PER	(	(
cầu	I-PER	kɤ̆w	cầu
thủ	I-PER	tʰu	thủ
bóng	I-PER	bɔŋ	bóng
đá	I-PER	da	đá
sinh	I-PER	siɲ	sinh
1981	I-PER	1981	1981
)	I-PER	)	)

Lợi	B-LOC	lɤj	Lợi
nhuận	I-LOC	ɲwɤ̆n	nhuận
trên	I-LOC	cen	trên
vốn	I-LOC	von	vốn

'	O	'	'
''	O	''	''
Cầu	B-ORG	kɤ̆w	Cầu
Notre-Dame	I-ORG	nɔcɛ-zamɛ	Notre-Dame
''	O	''	''
'	O	'	'

Siem	B-LOC	siɛm	Siem
Bouk	I-LOC	bɔuk	Bouk
(	O	(	(
19-02	O	19-02	19-02
)	O	)	)

Móng	B-LOC	mɔŋ	Móng
Cái	I-LOC	kaj	Cái
,	O	,	,
Quảng	B-LOC	kwaŋ	Quảng
Ninh	I-LOC	niɲ	Ninh

Thị	B-LOC	tʰi	Thị
trấn	I-LOC	cɤ̆n	trấn
của	I-LOC	kwa	của
tỉnh	I-LOC	tiɲ	tỉnh
Haute-Saône	I-LOC	hăwtɛ-saŵnɛ	Haute-Saône

