ホッケー	NOUN	hɑkki	hokkee
に	ADP	ni	ni
は	ADP	hɑ	ha
デンジャラスプレー	PROPN	dɛnd͡ʒɹəsəpɹi	denjarasupuree
の	ADP	now	no
反則	NOUN	hænsowku	hansoku
が	ADP	ɡɑ	ga
ある	VERB	ɹ̩u	aru
ので	SCONJ	nowd	node
、	PUNCT	,	,
膝	NOUN	hizə	hiza
より	ADP	jɔɹi	yori
上	NOUN	ui	ue
に	ADP	ni	ni
ボール	NOUN	bʊɹu	booru
を	ADP	wow	wo
浮かす	VERB	jukə	uka
こと	SCONJ	kowtow	koto
は	ADP	hɑ	ha
基本的	ADJ	kɪhɑntɛki	kihonteki
に	AUX	ni	ni
反則	NOUN	hænsowku	hansoku
に	ADP	ni	ni
なる	VERB	nɹu	naru
が	SCONJ	ɡɑ	ga
、	PUNCT	,	,
その	DET	sənow	sono
例外	NOUN	ɹajɡaj	reigai
の	ADP	now	no
一	NUM	it͡ʃi	ichi
つ	NOUN	tsu	tsu
が	ADP	ɡɑ	ga
この	DET	kownow	kono
スクープ	NOUN	sukʌupu	sukuupu
である	AUX	dɹ̩u	dearu
。	PUNCT	.	.

また	CCONJ	mɑtə	mata
行き	VERB	ajki	iki
たい	AUX	taj	tai
、	PUNCT	,	,
そんな	ADJ	sɑnə	sonna
気持ち	NOUN	kɪmowt͡ʃi	kimochi
に	ADP	ni	ni
さ	VERB	sɑ	sa
せ	AUX	sawθist	se
て	SCONJ	ti	te
くれる	AUX	kɹiɹu	kureru
お	NOUN	ow	o
店	NOUN	majz	mise
です	AUX	dɛsu	desu
。	PUNCT	.	.

手	NOUN	ti	te
に	ADP	ni	ni
持っ	VERB	mɑtsu	motsu
た	AUX	tɑ	ta
特殊	ADJ	tɑkʌʃu	tokushu
な	AUX	nɑ	na
刃物	NOUN	hɑmənow	hamono
を	ADP	wow	wo
使っ	VERB	tsukɑtsu	tsukatsu
た	AUX	tɑ	ta
アクロバティック	ADJ	ækɹ̩əbətajku	akurobateikku
な	AUX	nɑ	na
体術	NOUN	tajd͡ʒʌtsu	taijutsu
や	ADP	jɑ	ya
、	PUNCT	,	,
揚羽	PROPN	ejd͡ʒɛhə	ageha
と	ADP	tə	to
薄羽	PROPN	jusubə	usuba
同様	ADJ	dojju	douyou
に	AUX	ni	ni
クナイ	NOUN	kjunaj	kunai
や	ADP	jɑ	ya
忍具	NOUN	nɪn	nin
を	ADP	wow	wo
使っ	VERB	tsukɑtsu	tsukatsu
て	SCONJ	ti	te
攻撃	VERB	kawd͡ʒejki	kougeki
し	AUX	ʃi	shi
て	SCONJ	ti	te
くる	AUX	kjɹ̩ɹ̩u	kuru
。	PUNCT	.	.

3	NUM	3	3
年次	NOUN	nɛnd͡ʒi	nenji
に	ADP	ni	ni
は	ADP	hɑ	ha
トータルオフェンス	PROPN	tutɑɹwowfənsu	tootaruofensu
で	ADP	di	de
2,892	NUM	2,	2,
ヤード	NOUN	jɑdow	yaado
を	ADP	wow	wo
獲得	VERB	kɑkjətowku	kakutoku
し	AUX	ʃi	shi
、	PUNCT	,	,
これ	PRON	kɔɹ	kore
は	ADP	hɑ	ha
大学	NOUN	dejɡɑku	daigaku
記録	NOUN	kɪɹɑku	kiroku
と	ADP	tə	to
なっ	VERB	nætsu	natsu
た	AUX	tɑ	ta
。	PUNCT	.	.

葬儀	NOUN	sawd͡ʒi	sougi
の	ADP	now	no
最中	NOUN	sejɪkʌu	saichuu
です	AUX	dɛsu	desu
よ	PART	jow	yo
!	PUNCT	!	!

1998	NUM	1998	1998
年度	NOUN	nɛndow	nendo
に	ADP	ni	ni
着手	VERB	t͡ʃɑkəʃu	chakushu
し	AUX	ʃi	shi
、	PUNCT	,	,
道	NOUN	mɪt͡ʃi	michi
の	ADP	now	no
駅	NOUN	ɛki	eki
遠山郷	PROPN	tojjɑmə	touyama
北	PROPN	kitə	kita
側	NOUN	ɡɑwə	gawa
から	ADP	kɛɹə	kara
かぐら	NOUN	kɑɡʊɹ̩ə	kagura
大橋	PROPN	uhæʃi	oohashi
南	PROPN	minɑmi	minami
詰	NOUN	tsum	tsume
現道	NOUN	d͡ʒɛndu	gendou
交点	NOUN	ktən	kouten
まで	ADP	mejd	made
の	ADP	now	no
1.060	NUM	1.	1.
km	PROPN	kəm	km
のみ	ADP	nowmi	nomi
開通	VERB	kejtsəu	kaitsuu
済み	AUX	sumi	sumi
。	PUNCT	.	.

そして	CCONJ	sowʃajt	soshite
、	PUNCT	,	,
第	PART	daj	dai
40	NUM	40	40
話	NOUN	hænɑʃi	hanashi
で	ADP	di	de
その	DET	sənow	sono
カオル	PROPN	kejɹu	kaoru
と	ADP	tə	to
百子	PROPN	mowmowkow	momoko
を	ADP	wow	wo
も	ADP	mow	mo
失い	VERB	ʌʃɪnaj	ushinai
、	PUNCT	,	,
完全	ADJ	kænzən	kanzen
に	AUX	ni	ni
孤児	NOUN	kowd͡ʒi	koji
に	ADP	ni	ni
なっ	VERB	nætsu	natsu
て	SCONJ	ti	te
ゲン	PROPN	d͡ʒɛnɹ̩əl	gen
とともに	ADP	tɑtəmowni	totomoni
美	NOUN	baj	bi
山家	NOUN	jænb	yanbe
に	ADP	ni	ni
身	NOUN	mi	mi
を	ADP	wow	wo
寄せ	VERB	jowz	yose
、	PUNCT	,	,
また	CCONJ	mɑtə	mata
ゲン	PROPN	d͡ʒɛnɹ̩əl	gen
に	ADP	ni	ni
連れ添っ	VERB	tʃɹ̩	tsure
て	SCONJ	ti	te
円盤	NOUN	ɛnbæn	enban
生物	NOUN	sibʊtsu	seibutsu
を	ADP	wow	wo
調査	VERB	t͡ʃawsə	chousa
する	AUX	sjɹ̩ɹ̩u	suru
パートナー	NOUN	pɑtənɑ	paatonaa
と	ADP	tə	to
なる	VERB	nɹu	naru
。	PUNCT	.	.

一般的	ADJ	ɪpæntɛki	ippanteki
な	AUX	nɑ	na
層流	NOUN	sawɹ̩jəu	souryuu
翼	NOUN	tsʌbɑsə	tsubasa
型	NOUN	kɑtə	kata
と	ADP	tə	to
比べ	VERB	kɹəb	kurabe
負	NOUN	fu	fu
圧	NOUN	ɑtsu	atsu
中心	NOUN	t͡ʃʌuʃən	chuushin
が	ADP	ɡɑ	ga
前進	VERB	zɛnʃɪn	zenshin
し	AUX	ʃi	shi
、	PUNCT	,	,
圧力	NOUN	ɑtsɹ̩iowku	atsuryoku
勾配	NOUN	kbaj	koubai
は	ADP	hɑ	ha
なだらか	ADJ	nædɹɑkə	nadaraka
で	AUX	di	de
ある	AUX	ɹ̩u	aru
。	PUNCT	.	.

一直線	NOUN	ɪt͡ʃhɑkusən	itchokusen
に	ADP	ni	ni
伸びる	VERB	nowbi	nobi
電撃	NOUN	dɛŋɡɛki	dengeki
を	ADP	wow	wo
放ち	VERB	hawt͡ʃi	houtchi
、	PUNCT	,	,
電撃	NOUN	dɛŋɡɛki	dengeki
ダメージ	NOUN	dæmid͡ʒi	dameeji
を	ADP	wow	wo
与える	VERB	ætæ	atae
。	PUNCT	.	.

配属	VERB	hejajzowku	haizoku
さ	AUX	sɑ	sa
れ	AUX	ɹej	re
て	SCONJ	ti	te
最初	NOUN	sejʃow	saisho
の	ADP	now	no
1	NUM	1	1
カ月	NOUN	kɑ	ka
こそ	ADP	kowsow	koso
「	PUNCT	(	(
親切	ADJ	ʃɪnstsu	shinsetsu
な	AUX	nɑ	na
先輩	NOUN	sɛnpaj	senpai
に	ADP	ni	ni
恵まれ	VERB	mɛɡwmə	meguma
て	SCONJ	ti	te
ラッキー	ADJ	ɹæi	rakkii
だ	AUX	dɑ	da
な	PART	nɑ	na
」	PUNCT	)	)
と	ADP	tə	to
思っ	VERB	owmɑtsu	omotsu
た	AUX	tɑ	ta
ものの	SCONJ	mɑnownow	monono
、	PUNCT	,	,
その後	NOUN	sənow	sono
すぐ	ADJ	suɡʌ	sugu
に	AUX	ni	ni
「	PUNCT	(	(
ちょっと	ADV	t͡ʃowtow	chotto
おせっかい	ADJ	owsɛkaj	osekkai
か	PART	kɑ	ka
な	PART	nɑ	na
」	PUNCT	)	)
と	ADP	tə	to
感じる	VERB	kænd͡ʒi	kanji
ように	AUX	jni	youni
なり	AUX	nɑɹi	nari
、	PUNCT	,	,
半年	NOUN	hæntowʃi	hantoshi
後	NOUN	nɑt͡ʃi	nochi
に	ADP	ni	ni
は	ADP	hɑ	ha
「	PUNCT	(	(
少し	ADV	sukowʃi	sukoshi
邪魔	ADJ	d͡ʒæmə	jama
か	PART	kɑ	ka
も	ADP	mow	mo
」	PUNCT	)	)
と	ADP	tə	to
思い	VERB	owmoj	omoi
、	PUNCT	,	,
1	NUM	1	1
年	NOUN	nɛn	nen
後	NOUN	nɑt͡ʃi	nochi
に	ADP	ni	ni
は	ADP	hɑ	ha
「	PUNCT	(	(
生産性	NOUN	sejajsənsej	seisansei
の	ADP	now	no
阻害	NOUN	sowɡaj	sogai
要因	NOUN	jwən	youin
だ	AUX	dɑ	da
」	PUNCT	)	)
と	ADP	tə	to
確信	VERB	kɑkuʃən	kakushin
する	AUX	sjɹ̩ɹ̩u	suru
に	ADP	ni	ni
至り	VERB	ɪtɑɹi	itari
まし	AUX	mæʃi	mashi
た	AUX	tɑ	ta
。	PUNCT	.	.

統一教会	PROPN	tawwɪtsʌkjkaj	touitsukyoukai
に	ADP	ni	ni
導	VERB	du	dou
ける	AUX	kɛɹ̩u	keru
!	PUNCT	!	!

色々と	ADV	ajɹ̩wɪɹow	iroiro
面白い	ADJ	owmɑʃɪɹoj	omoshiroi
メニュー	NOUN	mɛnjəu	menyuu
の	ADP	now	no
ある	VERB	ɹ̩u	aru
店	NOUN	majz	mise
。	PUNCT	.	.

小泉	PROPN	kojzumi	koizumi
内閣	PROPN	nejkɑku	naikaku
の	ADP	now	no
高	NOUN	tɑkə	taka
支持率	NOUN	ʃɪd͡ʒɪɹɪtsu	shijiritsu
を	ADP	wow	wo
背景	NOUN	hejkej	haikei
に	ADP	ni	ni
国政	NOUN	kowkjusej	kokusei
の	ADP	now	no
主導権	NOUN	ʃudukən	shudouken
を	ADP	wow	wo
握る	VERB	nɪɡɹ̩u	nigiru
与党	NOUN	jowtu	yotou
の	ADP	now	no
自由	NOUN	d͡ʒɪɪəu	jiyuu
民主	NOUN	mɪnʃu	minshu
・	SYM	・	・
公明	ADJ	kmaj	koumei
両党	NOUN	ɹjawtu	ryoutou
に対して	ADP	ni	ni
政権交代	NOUN	sajkəŋkawtaj	seikenkoutai
の	ADP	now	no
展望	NOUN	tɛnbu	tenbou
を	ADP	wow	wo
見	VERB	kɛn	ken
出す	AUX	dɑsu	dasu
ため	SCONJ	tejm	tame
、	PUNCT	,	,
非自民	NOUN	hɪd͡ʒɪmɪn	hijimin
勢力	NOUN	sɪɹiowku	seiryoku
の	ADP	now	no
結集	NOUN	kɛʃʌu	kesshuu
を	ADP	wow	wo
狙っ	VERB	nɪɹɑtsu	neratsu
た	AUX	tɑ	ta
もの	NOUN	mownow	mono
であっ	AUX	ditsu	deatsu
た	AUX	tɑ	ta
。	PUNCT	.	.

医師	NOUN	ɪʃi	ishi
の	ADP	now	no
丁寧	ADJ	tajnejaj	teinei
な	AUX	nɑ	na
診察	NOUN	ʃɪnsɑtsu	shinsatsu
や	ADP	jɑ	ya
検査	NOUN	kɛnsə	kensa
に	ADP	ni	ni
は	ADP	hɑ	ha
安心感	NOUN	ænʃɪŋkən	anshinkan
が	ADP	ɡɑ	ga
もて	VERB	mowt	mote
まし	AUX	mæʃi	mashi
た	AUX	tɑ	ta
ね	PART	ni	ne
。	PUNCT	.	.

エンゲージメント	NOUN	ɛŋɡid͡ʒəmɛntow	engeejimento
系	NOUN	kej	kei
の	ADP	now	no
事例	NOUN	d͡ʒajɹejaj	jirei
で	ADP	di	de
言え	VERB	ii	ie
ば	SCONJ	bɑ	ba
,	PUNCT	,	,
日本	PROPN	nɪpɑn	nippon
で	ADP	di	de
の	ADP	now	no
再現性	NOUN	sajɡɛnsej	saigensei
は	ADP	hɑ	ha
低い	ADJ	hɪkui	hikui
という	ADP	toju	toiu
前提	NOUN	zɛntɛaj	zentei
で	ADP	di	de
い	VERB	aj	i
た	AUX	tɑ	ta
方	NOUN	hu	hou
が	ADP	ɡɑ	ga
イイ	PROPN	ɪi	ii
の	ADP	now	no
かな	NOUN	kænə	kana
と	ADP	tə	to
思っ	VERB	owmɑtsu	omotsu
て	SCONJ	ti	te
い	AUX	aj	i
ます	AUX	mɑsu	masu
。	PUNCT	.	.

店舗	NOUN	tɛnpow	tenpo
の	ADP	now	no
見た目	NOUN	majtɑm	mitame
が	ADP	ɡɑ	ga
居酒屋	NOUN	ɪzɑkɑjə	izakaya
大	NOUN	daj	dai
の	ADP	now	no
二	NUM	ni	ni
階	NOUN	kaj	kai
に	ADP	ni	ni
しか	ADP	ʃajkə	shika
見え	VERB	mi	mie
ない	AUX	naj	nai
の	SCONJ	now	no
が	ADP	ɡɑ	ga
残念	ADJ	zænən	zannen
。	PUNCT	.	.

高松	PROPN	tɑkəmætsu	takamatsu
に	ADP	ni	ni
3	NUM	3	3
店舗	NOUN	tɛnpow	tenpo
を	ADP	wow	wo
展開	VERB	tɛŋkaj	tenkai
する	AUX	sjɹ̩ɹ̩u	suru
四国	PROPN	ʃɪkowku	shikoku
スイーツ	NOUN	suɪtsu	suiitsu
の	ADP	now	no
専門店	NOUN	sɛnmɑntən	senmonten
、	PUNCT	,	,
ラ	PROPN	ɹɑ	ra
・	SYM	・	・
ファミーユ	PROPN	fu	fu
で	ADP	di	de
は	ADP	hɑ	ha
、	PUNCT	,	,
バレンタイン	PROPN	bɛɹɛntən	barentain
を	ADP	wow	wo
前	NOUN	mej	mae
に	ADP	ni	ni
、	PUNCT	,	,
焼か	VERB	jɑkə	yaka
ない	AUX	naj	nai
チョコレートケーキ	NOUN	t͡ʃowkɔɹ̩itowkiki	chokoreetokeeki
「	PUNCT	(	(
半熟	NOUN	hænd͡ʒuku	hanjuku
ザッハトルテ	PROPN	zɑhətɔɹut	zahhatorute
」	PUNCT	)	)
の	ADP	now	no
発売	NOUN	hætsubaj	hatsubai
を	ADP	wow	wo
開始	VERB	kʃi	kaishi
し	AUX	ʃi	shi
まし	AUX	mæʃi	mashi
た	AUX	tɑ	ta
。	PUNCT	.	.

